Time,Pitch,SetPitch,ControlSignal,P_Gain,I_Gain,D_Gain
0.813303,2.3,0.0,-5.75,0.0,0.0,0.0
0.8726,2.28,0.0,-5.76,0.0,0.0,0.0
0.91122,2.26,0.0,-5.69,0.0,0.0,0.0
1.045687,2.28,0.0,-5.66,0.0,0.0,0.0
1.100618,2.29,0.0,-5.71,0.0,0.0,0.0
1.156168,2.3,0.0,-5.72,0.0,0.0,0.0
1.210305,2.31,0.0,-5.76,0.0,0.0,0.0
1.26502,2.3,0.0,-5.77,0.0,0.0,0.0
1.34642,2.31,0.0,-5.76,0.0,0.0,0.0
1.400418,2.29,0.0,-5.79,0.0,0.0,0.0
1.454314,2.3,0.0,-5.72,0.0,0.0,0.0
1.508921,2.3,0.0,-5.74,0.0,0.0,0.0
1.574484,2.31,0.0,-5.74,0.0,0.0,0.0
1.647214,2.3,0.0,-5.77,0.0,0.0,0.0
1.718362,2.29,0.0,-5.74,0.0,0.0,0.0
1.775086,2.28,0.0,-5.73,0.0,0.0,0.0
1.831123,2.3,0.0,-5.71,0.0,0.0,0.0
1.885412,2.33,0.0,-5.76,0.0,0.0,0.0
1.940996,2.34,0.0,-5.81,0.0,0.0,0.0
1.99575,2.34,0.0,-5.84,0.0,0.0,0.0
2.051502,2.35,0.0,-5.86,0.0,0.0,0.0
2.145594,2.34,0.0,-5.87,0.0,0.0,0.0
2.245578,2.33,0.0,-5.84,0.0,0.0,0.0
2.345641,2.31,0.0,-5.84,0.0,0.0,0.0
2.445649,2.33,0.0,-5.78,0.0,0.0,0.0
2.545582,2.32,0.0,-5.81,0.0,0.0,0.0
2.645588,2.31,0.0,-5.81,0.0,0.0,0.0
2.745566,2.32,0.0,-5.78,0.0,0.0,0.0
2.84663,2.31,0.0,-5.8,0.0,0.0,0.0
2.945655,2.3,0.0,-5.79,0.0,0.0,0.0
3.047608,2.31,0.0,-5.75,0.0,0.0,0.0
3.145597,2.32,0.0,-5.77,0.0,0.0,0.0
3.245627,2.34,0.0,-5.81,0.0,0.0,0.0
3.345574,2.34,0.0,-5.84,0.0,0.0,0.0
3.445605,2.34,0.0,-5.85,0.0,0.0,0.0
3.545757,2.35,0.0,-5.85,0.0,0.0,0.0
3.645619,2.34,0.0,-5.88,0.0,0.0,0.0
3.745638,2.32,0.0,-5.85,0.0,0.0,0.0
3.845632,2.35,0.0,-5.8,0.0,0.0,0.0
3.945603,2.35,0.0,-5.87,0.0,0.0,0.0
4.045604,2.36,0.0,-5.88,0.0,0.0,0.0
4.145577,2.35,0.0,-5.89,0.0,0.0,0.0
4.245791,2.36,0.0,-5.89,0.0,0.0,0.0
4.345635,2.35,0.0,-5.89,0.0,0.0,0.0
4.44566,2.32,0.0,-5.87,0.0,0.0,0.0
4.54564,2.31,0.0,-5.81,0.0,0.0,0.0
4.645603,2.31,0.0,-5.77,0.0,0.0,0.0
