Time,Pitch,SetPitch,ControlSignal,P_Gain,I_Gain,D_Gain
0.527928,2.0,0.0,-5.0,0.0,0.0,0.0
0.586639,2.0,0.0,-5.0,0.0,0.0,0.0
0.616979,2.01,0.0,-5.0,0.0,0.0,0.0
0.754842,2.03,0.0,-5.05,0.0,0.0,0.0
0.810263,2.08,0.0,-5.08,0.0,0.0,0.0
0.864299,2.07,0.0,-5.2,0.0,0.0,0.0
0.918588,2.09,0.0,-5.19,0.0,0.0,0.0
0.973187,2.09,0.0,-5.23,0.0,0.0,0.0
1.029773,2.08,0.0,-5.25,0.0,0.0,0.0
1.083905,2.06,0.0,-5.2,0.0,0.0,0.0
1.138449,2.05,0.0,-5.16,0.0,0.0,0.0
1.19259,2.04,0.0,-5.14,0.0,0.0,0.0
1.246512,2.0,0.0,-5.11,0.0,0.0,0.0
1.375021,2.02,0.0,-5.02,0.0,0.0,0.0
1.429147,2.02,0.0,-5.07,0.0,0.0,0.0
1.54601,2.04,0.0,-5.05,0.0,0.0,0.0
1.620041,2.03,0.0,-5.1,0.0,0.0,0.0
1.732013,1.95,0.0,-5.08,0.0,0.0,0.0
1.820123,2.25,0.0,-4.88,0.0,0.0,0.0
1.920205,2.14,0.0,-5.64,0.0,0.0,0.0
2.025196,2.69,0.0,-5.37,0.0,0.0,0.0
2.120237,4.15,0.0,-6.73,0.0,0.0,0.0
2.221323,5.25,0.0,-10.39,0.0,0.0,0.0
2.32616,7.01,0.0,-13.13,0.0,0.0,0.0
2.423059,9.07,0.0,-17.54,0.0,0.0,0.0
2.532046,10.81,0.0,-22.69,0.0,0.0,0.0
2.623067,12.92,0.0,-27.05,0.0,0.0,0.0
2.730125,15.09,0.0,-32.32,0.0,0.0,0.0
2.833183,16.9,0.0,-37.73,0.0,0.0,0.0
2.950171,18.76,0.0,-42.27,0.0,0.0,0.0
3.072189,20.92,0.0,-46.92,0.0,0.0,0.0
3.144157,22.59,0.0,-52.3,0.0,0.0,0.0
3.250071,24.69,0.0,-56.48,0.0,0.0,0.0
3.333091,26.56,0.0,-61.73,0.0,0.0,0.0
3.424209,27.89,0.0,-66.41,0.0,0.0,0.0
3.523406,30.0,0.0,-69.73,0.0,0.0,0.0
3.62017,32.11,0.0,-75.0,0.0,0.0,0.0
3.720216,32.43,0.0,-80.3,0.0,0.0,0.0
3.821488,33.26,0.0,-81.08,0.0,0.0,0.0
3.920444,33.49,0.0,-83.17,0.0,0.0,0.0
4.020429,32.34,0.0,-83.74,0.0,0.0,0.0
4.124274,30.73,0.0,-80.86,0.0,0.0,0.0
4.220169,28.3,0.0,-76.83,0.0,0.0,0.0
4.332125,25.78,0.0,-70.77,0.0,0.0,0.0
4.433428,24.04,0.0,-64.46,0.0,0.0,0.0
4.566158,21.72,0.0,-60.11,0.0,0.0,0.0
4.631931,19.09,0.0,-54.31,0.0,0.0,0.0
4.733042,16.95,0.0,-47.74,0.0,0.0,0.0
4.833435,14.98,0.0,-42.38,0.0,0.0,0.0
4.932468,13.27,0.0,-37.45,0.0,0.0,0.0
5.035253,11.63,0.0,-33.19,0.0,0.0,0.0
5.121154,9.57,0.0,-29.07,0.0,0.0,0.0
5.233182,7.96,0.0,-23.93,0.0,0.0,0.0
5.340535,6.37,0.0,-19.9,0.0,0.0,0.0
5.427444,4.76,0.0,-15.93,0.0,0.0,0.0
5.5234,3.08,0.0,-11.9,0.0,0.0,0.0
5.644078,1.67,0.0,-7.72,0.0,0.0,0.0
5.729344,-0.23,0.0,-4.18,0.0,0.0,0.0
5.826261,-2.5,0.0,0.55,0.0,0.0,0.0
5.922456,-4.23,0.0,6.23,0.0,0.0,0.0
6.028183,-5.63,0.0,10.57,0.0,0.0,0.0
6.123238,-8.25,0.0,14.05,0.0,0.0,0.0
6.221214,-10.59,0.0,20.62,0.0,0.0,0.0
6.326272,-12.87,0.0,26.47,0.0,0.0,0.0
6.420455,-14.95,0.0,32.16,0.0,0.0,0.0
6.522684,-17.13,0.0,37.37,0.0,0.0,0.0
6.621199,-19.47,0.0,42.83,0.0,0.0,0.0
6.726463,-20.31,0.0,48.65,0.0,0.0,0.0
6.899251,-20.42,0.0,50.77,0.0,0.0,0.0
6.965566,-17.92,0.0,51.03,0.0,0.0,0.0
7.031287,-14.92,0.0,44.8,0.0,0.0,0.0
7.12709,-16.21,0.0,37.29,0.0,0.0,0.0
