Time,Pitch,SetPitch,ControlSignal,P_Gain,I_Gain,D_Gain
0.488155,2.18,0.0,-5.45,0.0,0.0,0.0
0.546323,2.17,0.0,-5.46,0.0,0.0,0.0
0.573543,2.17,0.0,-5.44,0.0,0.0,0.0
0.704078,2.15,0.0,-5.43,0.0,0.0,0.0
0.759364,2.15,0.0,-5.39,0.0,0.0,0.0
0.813531,2.17,0.0,-5.39,0.0,0.0,0.0
0.868467,2.15,0.0,-5.43,0.0,0.0,0.0
0.922507,2.15,0.0,-5.39,0.0,0.0,0.0
0.976449,2.13,0.0,-5.39,0.0,0.0,0.0
1.030493,2.12,0.0,-5.34,0.0,0.0,0.0
1.089897,2.13,0.0,-5.31,0.0,0.0,0.0
1.144186,2.13,0.0,-5.35,0.0,0.0,0.0
1.247198,2.14,0.0,-5.34,0.0,0.0,0.0
1.3472,2.15,0.0,-5.36,0.0,0.0,0.0
1.446206,2.14,0.0,-5.38,0.0,0.0,0.0
1.544305,2.16,0.0,-5.36,0.0,0.0,0.0
1.64535,2.14,0.0,-5.42,0.0,0.0,0.0
1.748184,2.12,0.0,-5.37,0.0,0.0,0.0
1.846199,2.12,0.0,-5.32,0.0,0.0,0.0
1.946209,2.12,0.0,-5.32,0.0,0.0,0.0
2.054197,2.11,0.0,-5.3,0.0,0.0,0.0
2.151243,2.1,0.0,-5.29,0.0,0.0,0.0
2.245612,2.1,0.0,-5.27,0.0,0.0,0.0
2.34859,2.09,0.0,-5.27,0.0,0.0,0.0
2.448359,2.07,0.0,-5.25,0.0,0.0,0.0
2.549614,2.06,0.0,-5.19,0.0,0.0,0.0
2.647605,2.07,0.0,-5.17,0.0,0.0,0.0
2.744307,2.07,0.0,-5.19,0.0,0.0,0.0
2.844677,2.08,0.0,-5.18,0.0,0.0,0.0
2.957317,2.07,0.0,-5.21,0.0,0.0,0.0
3.046243,2.08,0.0,-5.19,0.0,0.0,0.0
3.146384,2.09,0.0,-5.21,0.0,0.0,0.0
3.244503,2.09,0.0,-5.23,0.0,0.0,0.0
3.34535,2.11,0.0,-5.22,0.0,0.0,0.0
3.447285,2.11,0.0,-5.27,0.0,0.0,0.0
3.544338,2.12,0.0,-5.28,0.0,0.0,0.0
3.644524,2.12,0.0,-5.3,0.0,0.0,0.0
3.746426,2.13,0.0,-5.32,0.0,0.0,0.0
