Time,Pitch,SetPitch,ControlSignal,P_Gain,I_Gain,D_Gain
0.487596,2.23,0.0,-5.83,0.0,0.0,0.0
0.544979,2.25,0.0,-5.77,0.0,0.0,0.0
0.575227,2.26,0.0,-6.0,0.0,0.0,0.0
0.729469,2.23,0.0,-6.08,0.0,0.0,0.0
0.784522,2.26,0.0,-5.81,0.0,0.0,0.0
0.839384,2.26,0.0,-6.05,0.0,0.0,0.0
0.893561,2.27,0.0,-6.07,0.0,0.0,0.0
0.947369,2.27,0.0,-6.21,0.0,0.0,0.0
1.001454,2.27,0.0,-6.19,0.0,0.0,0.0
1.055732,2.28,0.0,-6.14,0.0,0.0,0.0
1.109805,2.27,0.0,-6.26,0.0,0.0,0.0
1.18551,2.26,0.0,-6.16,0.0,0.0,0.0
1.285502,2.25,0.0,-6.08,0.0,0.0,0.0
1.38547,2.27,0.0,-5.93,0.0,0.0,0.0
1.485446,2.26,0.0,-6.14,0.0,0.0,0.0
1.585681,2.25,0.0,-6.12,0.0,0.0,0.0
1.68555,2.23,0.0,-5.95,0.0,0.0,0.0
1.786663,2.2,0.0,-5.81,0.0,0.0,0.0
1.885557,2.2,0.0,-5.49,0.0,0.0,0.0
1.985573,2.21,0.0,-5.46,0.0,0.0,0.0
2.085562,2.22,0.0,-5.56,0.0,0.0,0.0
2.185682,2.22,0.0,-5.69,0.0,0.0,0.0
2.28562,2.22,0.0,-5.68,0.0,0.0,0.0
2.385601,2.23,0.0,-5.71,0.0,0.0,0.0
2.48557,2.25,0.0,-5.76,0.0,0.0,0.0
2.58569,2.25,0.0,-5.96,0.0,0.0,0.0
2.685569,2.23,0.0,-5.94,0.0,0.0,0.0
2.785565,2.22,0.0,-5.79,0.0,0.0,0.0
2.885609,2.24,0.0,-5.65,0.0,0.0,0.0
2.985597,2.22,0.0,-5.92,0.0,0.0,0.0
3.085617,2.21,0.0,-5.71,0.0,0.0,0.0
3.18579,2.21,0.0,-5.59,0.0,0.0,0.0
3.285708,2.21,0.0,-5.57,0.0,0.0,0.0
3.385718,2.21,0.0,-5.61,0.0,0.0,0.0
3.485575,2.2,0.0,-5.55,0.0,0.0,0.0
3.585826,2.2,0.0,-5.5,0.0,0.0,0.0
3.685747,2.22,0.0,-5.52,0.0,0.0,0.0
3.785828,2.21,0.0,-5.68,0.0,0.0,0.0
3.885582,2.21,0.0,-5.6,0.0,0.0,0.0
3.985715,2.2,0.0,-5.62,0.0,0.0,0.0
4.085742,2.22,0.0,-5.52,0.0,0.0,0.0
4.186717,2.21,0.0,-5.7,0.0,0.0,0.0
4.285845,2.2,0.0,-5.52,0.0,0.0,0.0
4.385615,2.2,0.0,-5.47,0.0,0.0,0.0
