Time,Pitch,SetPitch,ControlSignal,P_Gain,I_Gain,D_Gain
0.487096,2.08,0.0,-5.23,0.0,0.0,0.0
0.546024,2.08,0.0,-5.21,0.0,0.0,0.0
0.578478,2.08,0.0,-5.22,0.0,0.0,0.0
0.704434,2.08,0.0,-5.2,0.0,0.0,0.0
0.759668,2.08,0.0,-5.21,0.0,0.0,0.0
0.813957,2.07,0.0,-5.21,0.0,0.0,0.0
0.867978,2.07,0.0,-5.19,0.0,0.0,0.0
0.921981,2.04,0.0,-5.18,0.0,0.0,0.0
0.976151,2.05,0.0,-5.12,0.0,0.0,0.0
1.04289,2.07,0.0,-5.14,0.0,0.0,0.0
1.097175,2.07,0.0,-5.17,0.0,0.0,0.0
1.162274,2.05,0.0,-5.17,0.0,0.0,0.0
1.216536,2.03,0.0,-5.14,0.0,0.0,0.0
1.311161,2.02,0.0,-5.08,0.0,0.0,0.0
1.405109,2.01,0.0,-5.07,0.0,0.0,0.0
1.500134,2.02,0.0,-5.04,0.0,0.0,0.0
1.612142,2.02,0.0,-5.05,0.0,0.0,0.0
1.700152,2.02,0.0,-5.06,0.0,0.0,0.0
1.813094,2.05,0.0,-5.05,0.0,0.0,0.0
1.946132,2.08,0.0,-5.14,0.0,0.0,0.0
2.000317,2.08,0.0,-5.22,0.0,0.0,0.0
2.101122,2.25,0.0,-5.21,0.0,0.0,0.0
2.19731,2.19,0.0,-5.63,0.0,0.0,0.0
2.297236,2.67,0.0,-5.49,0.0,0.0,0.0
2.397353,3.59,0.0,-6.69,0.0,0.0,0.0
2.497366,4.59,0.0,-8.98,0.0,0.0,0.0
2.59751,5.54,0.0,-11.49,0.0,0.0,0.0
2.712278,6.79,0.0,-13.85,0.0,0.0,0.0
2.811373,8.15,0.0,-16.99,0.0,0.0,0.0
2.902567,10.72,0.0,-20.38,0.0,0.0,0.0
3.014267,11.92,0.0,-26.81,0.0,0.0,0.0
3.113274,13.75,0.0,-29.81,0.0,0.0,0.0
3.229256,14.83,0.0,-34.39,0.0,0.0,0.0
3.299519,16.7,0.0,-37.08,0.0,0.0,0.0
3.430262,17.91,0.0,-41.75,0.0,0.0,0.0
3.507548,19.03,0.0,-44.79,0.0,0.0,0.0
3.604549,20.71,0.0,-47.57,0.0,0.0,0.0
3.698625,21.28,0.0,-51.79,0.0,0.0,0.0
3.798309,22.03,0.0,-53.22,0.0,0.0,0.0
3.903524,22.48,0.0,-55.08,0.0,0.0,0.0
3.997241,22.91,0.0,-56.2,0.0,0.0,0.0
4.097168,22.88,0.0,-57.29,0.0,0.0,0.0
4.197173,23.62,0.0,-57.2,0.0,0.0,0.0
4.300159,24.14,0.0,-59.06,0.0,0.0,0.0
4.400173,21.87,0.0,-60.36,0.0,0.0,0.0
4.513184,19.51,0.0,-54.68,0.0,0.0,0.0
4.864517,14.44,0.0,-41.87,0.0,0.0,0.0
5.96439,-2.14,0.0,2.5,0.0,0.0,0.0
6.264571,-4.03,0.0,7.89,0.0,0.0,0.0
6.56458,-7.38,0.0,16.44,0.0,0.0,0.0
7.163612,-9.03,0.0,23.56,0.0,0.0,0.0
7.221432,-8.08,0.0,22.58,0.0,0.0,0.0
7.276336,-4.91,0.0,20.19,0.0,0.0,0.0
7.337676,-5.04,0.0,12.27,0.0,0.0,0.0
7.403841,-5.75,0.0,12.59,0.0,0.0,0.0
7.497408,-5.46,0.0,14.36,0.0,0.0,0.0
7.599297,-4.73,0.0,13.63,0.0,0.0,0.0
7.69844,-5.15,0.0,11.8,0.0,0.0,0.0
7.79726,-3.23,0.0,12.87,0.0,0.0,0.0
7.897512,-1.25,0.0,8.05,0.0,0.0,0.0
7.997326,0.43,0.0,3.11,0.0,0.0,0.0
8.097587,2.29,0.0,-1.09,0.0,0.0,0.0
8.1976,4.6,0.0,-5.73,0.0,0.0,0.0
8.299384,6.76,0.0,-11.52,0.0,0.0,0.0
8.397571,8.86,0.0,-16.9,0.0,0.0,0.0
8.497577,10.94,0.0,-22.17,0.0,0.0,0.0
8.599579,12.45,0.0,-27.36,0.0,0.0,0.0
8.698376,13.74,0.0,-31.14,0.0,0.0,0.0
8.800413,14.59,0.0,-34.37,0.0,0.0,0.0
8.897586,16.12,0.0,-36.47,0.0,0.0,0.0
8.997352,16.59,0.0,-40.3,0.0,0.0,0.0
9.097592,16.8,0.0,-41.48,0.0,0.0,0.0
9.200387,17.6,0.0,-42.0,0.0,0.0,0.0
9.302518,19.39,0.0,-44.02,0.0,0.0,0.0
9.397304,19.38,0.0,-48.48,0.0,0.0,0.0
9.497565,19.4,0.0,-48.47,0.0,0.0,0.0
9.603534,16.48,0.0,-48.51,0.0,0.0,0.0
10.163878,11.48,0.0,-32.24,0.0,0.0,0.0
10.230332,10.09,0.0,-28.71,0.0,0.0,0.0
10.296722,8.73,0.0,-25.23,0.0,0.0,0.0
10.362791,7.42,0.0,-21.84,0.0,0.0,0.0
10.764566,3.57,0.0,-11.95,0.0,0.0,0.0
11.063606,1.2,0.0,-6.0,0.0,0.0,0.0
11.129399,-1.13,0.0,0.02,0.0,0.0,0.0
11.187756,-2.11,0.0,2.82,0.0,0.0,0.0
11.764568,-4.66,0.0,11.06,0.0,0.0,0.0
12.063586,-4.0,0.0,11.98,0.0,0.0,0.0
12.13049,-3.63,0.0,9.98,0.0,0.0,0.0
12.198292,-3.66,0.0,9.08,0.0,0.0,0.0
12.265384,-3.33,0.0,9.13,0.0,0.0,0.0
12.332146,-2.45,0.0,8.31,0.0,0.0,0.0
12.399637,-2.05,0.0,6.13,0.0,0.0,0.0
12.466602,-1.89,0.0,5.1,0.0,0.0,0.0
12.532623,-0.45,0.0,4.72,0.0,0.0,0.0
12.597317,0.87,0.0,1.1,0.0,0.0,0.0
12.697582,1.88,0.0,-2.18,0.0,0.0,0.0
12.797582,2.76,0.0,-4.72,0.0,0.0,0.0
12.898405,3.85,0.0,-6.9,0.0,0.0,0.0
13.00031,5.41,0.0,-9.64,0.0,0.0,0.0
13.097611,5.59,0.0,-13.54,0.0,0.0,0.0
13.199601,6.52,0.0,-13.99,0.0,0.0,0.0
13.313421,4.97,0.0,-16.3,0.0,0.0,0.0
13.412582,3.82,0.0,-12.43,0.0,0.0,0.0
13.513589,3.17,0.0,-9.57,0.0,0.0,0.0
13.963688,0.55,0.0,-3.93,0.0,0.0,0.0
14.030825,-0.68,0.0,-1.39,0.0,0.0,0.0
14.263667,-3.03,0.0,4.83,0.0,0.0,0.0
14.330656,-4.03,0.0,7.56,0.0,0.0,0.0
14.664602,-6.83,0.0,14.75,0.0,0.0,0.0
14.964607,-8.44,0.0,19.15,0.0,0.0,0.0
15.263639,-9.82,0.0,24.35,0.0,0.0,0.0
15.322931,-9.62,0.0,24.54,0.0,0.0,0.0
15.389723,-9.09,0.0,24.03,0.0,0.0,0.0
15.456775,-8.63,0.0,22.71,0.0,0.0,0.0
15.52359,-8.22,0.0,21.57,0.0,0.0,0.0
15.590563,-7.6,0.0,20.54,0.0,0.0,0.0
15.657281,-6.98,0.0,18.98,0.0,0.0,0.0
15.724326,-5.9,0.0,17.45,0.0,0.0,0.0
15.797288,-4.73,0.0,14.74,0.0,0.0,0.0
15.897343,-3.18,0.0,11.81,0.0,0.0,0.0
15.99763,-1.89,0.0,7.93,0.0,0.0,0.0
16.097399,-0.45,0.0,4.71,0.0,0.0,0.0
16.199643,1.12,0.0,1.12,0.0,0.0,0.0
16.299603,2.21,0.0,-2.81,0.0,0.0,0.0
16.397623,3.2,0.0,-5.54,0.0,0.0,0.0
16.497633,4.09,0.0,-8.0,0.0,0.0,0.0
16.59764,4.06,0.0,-10.24,0.0,0.0,0.0
16.697628,3.3,0.0,-10.17,0.0,0.0,0.0
16.831395,2.75,0.0,-8.25,0.0,0.0,0.0
16.912369,1.82,0.0,-6.88,0.0,0.0,0.0
17.364377,-1.38,0.0,0.36,0.0,0.0,0.0
17.663689,-4.33,0.0,7.21,0.0,0.0,0.0
17.731923,-5.91,0.0,13.29,0.0,0.0,0.0
17.798821,-5.66,0.0,14.75,0.0,0.0,0.0
17.865814,-5.48,0.0,14.14,0.0,0.0,0.0
17.932848,-4.79,0.0,13.69,0.0,0.0,0.0
18.031362,-4.45,0.0,11.96,0.0,0.0,0.0
18.125625,-4.1,0.0,11.11,0.0,0.0,0.0
18.197598,-3.78,0.0,10.24,0.0,0.0,0.0
18.300577,-3.51,0.0,9.43,0.0,0.0,0.0
18.397366,-3.17,0.0,8.76,0.0,0.0,0.0
18.503628,-2.9,0.0,7.92,0.0,0.0,0.0
18.597636,-2.64,0.0,7.24,0.0,0.0,0.0
18.713635,-2.4,0.0,6.59,0.0,0.0,0.0
18.797361,-2.18,0.0,6.0,0.0,0.0,0.0
18.903512,-1.95,0.0,5.43,0.0,0.0,0.0
18.997525,-1.76,0.0,4.87,0.0,0.0,0.0
19.102214,-1.58,0.0,4.39,0.0,0.0,0.0
19.199407,-1.41,0.0,3.95,0.0,0.0,0.0
19.314388,-1.24,0.0,3.52,0.0,0.0,0.0
19.397519,-1.08,0.0,3.09,0.0,0.0,0.0
19.499374,-0.92,0.0,2.7,0.0,0.0,0.0
19.605637,-0.78,0.0,2.29,0.0,0.0,0.0
19.700252,-0.64,0.0,1.94,0.0,0.0,0.0
19.799444,-0.5,0.0,1.59,0.0,0.0,0.0
19.911633,-0.37,0.0,1.23,0.0,0.0,0.0
20.012643,-0.23,0.0,0.93,0.0,0.0,0.0
20.097641,-0.09,0.0,0.56,0.0,0.0,0.0
20.198745,0.02,0.0,0.22,0.0,0.0,0.0
20.298416,0.09,0.0,-0.05,0.0,0.0,0.0
20.399639,0.22,0.0,-0.24,0.0,0.0,0.0
20.497385,0.31,0.0,-0.55,0.0,0.0,0.0
20.606533,0.38,0.0,-0.79,0.0,0.0,0.0
20.702611,0.47,0.0,-0.96,0.0,0.0,0.0
20.797529,0.56,0.0,-1.19,0.0,0.0,0.0
20.897675,0.64,0.0,-1.4,0.0,0.0,0.0
20.998711,0.71,0.0,-1.6,0.0,0.0,0.0
21.098669,0.76,0.0,-1.78,0.0,0.0,0.0
21.198629,0.85,0.0,-1.9,0.0,0.0,0.0
21.301378,0.9,0.0,-2.13,0.0,0.0,0.0
21.397641,0.98,0.0,-2.27,0.0,0.0,0.0
21.502389,1.03,0.0,-2.46,0.0,0.0,0.0
21.600438,1.09,0.0,-2.59,0.0,0.0,0.0
21.699681,1.13,0.0,-2.74,0.0,0.0,0.0
21.801659,1.18,0.0,-2.83,0.0,0.0,0.0
21.898722,1.23,0.0,-2.97,0.0,0.0,0.0
21.997381,1.28,0.0,-3.07,0.0,0.0,0.0
22.099679,1.31,0.0,-3.21,0.0,0.0,0.0
22.198452,1.37,0.0,-3.3,0.0,0.0,0.0
22.298434,1.39,0.0,-3.43,0.0,0.0,0.0
