Time,Pitch,SetPitch,ControlSignal,P_Gain,I_Gain,D_Gain
0.500276,2.07,0.0,-5.14,0.0,0.0,0.0
0.556651,2.08,0.0,-5.19,0.0,0.0,0.0
0.597221,2.09,0.0,-5.22,0.0,0.0,0.0
0.724005,2.09,0.0,-5.25,0.0,0.0,0.0
0.784956,2.07,0.0,-5.23,0.0,0.0,0.0
0.840082,2.05,0.0,-5.19,0.0,0.0,0.0
0.894149,2.06,0.0,-5.13,0.0,0.0,0.0
0.948168,2.09,0.0,-5.16,0.0,0.0,0.0
1.003024,2.08,0.0,-5.23,0.0,0.0,0.0
1.068355,2.07,0.0,-5.21,0.0,0.0,0.0
1.122725,2.07,0.0,-5.19,0.0,0.0,0.0
1.176889,2.04,0.0,-5.19,0.0,0.0,0.0
1.235056,2.03,0.0,-5.1,0.0,0.0,0.0
1.329025,2.03,0.0,-5.08,0.0,0.0,0.0
1.438997,2.02,0.0,-5.08,0.0,0.0,0.0
1.539423,2.03,0.0,-5.06,0.0,0.0,0.0
1.661248,2.01,0.0,-5.09,0.0,0.0,0.0
1.737231,2.03,0.0,-5.04,0.0,0.0,0.0
1.837343,2.02,0.0,-5.09,0.0,0.0,0.0
1.937156,2.02,0.0,-5.05,0.0,0.0,0.0
2.035193,2.0,0.0,-5.06,0.0,0.0,0.0
2.136313,1.65,0.0,-5.02,0.0,0.0,0.0
2.238374,2.59,0.0,-4.14,0.0,0.0,0.0
2.337147,3.07,0.0,-6.49,0.0,0.0,0.0
2.437375,3.36,0.0,-7.68,0.0,0.0,0.0
2.545351,2.87,0.0,-8.42,0.0,0.0,0.0
2.632268,0.47,0.0,-7.18,0.0,0.0,0.0
2.737231,-1.05,0.0,-1.19,0.0,0.0,0.0
2.834405,-1.81,0.0,2.62,0.0,0.0,0.0
2.93314,-2.78,0.0,4.52,0.0,0.0,0.0
3.030342,-2.95,0.0,6.95,0.0,0.0,0.0
3.130413,-4.86,0.0,7.36,0.0,0.0,0.0
3.235259,-6.47,0.0,12.14,0.0,0.0,0.0
3.330076,-7.75,0.0,16.17,0.0,0.0,0.0
3.436258,-9.99,0.0,19.35,0.0,0.0,0.0
3.537411,-12.9,0.0,24.96,0.0,0.0,0.0
3.641403,-15.15,0.0,32.25,0.0,0.0,0.0
3.734167,-17.77,0.0,37.85,0.0,0.0,0.0
3.833427,-19.83,0.0,44.42,0.0,0.0,0.0
3.934427,-21.24,0.0,49.56,0.0,0.0,0.0
4.034139,-22.3,0.0,53.08,0.0,0.0,0.0
4.133079,-23.37,0.0,55.75,0.0,0.0,0.0
4.23419,-23.59,0.0,58.41,0.0,0.0,0.0
4.336169,-24.28,0.0,58.95,0.0,0.0,0.0
4.435424,-23.12,0.0,60.68,0.0,0.0,0.0
4.534364,-20.18,0.0,57.78,0.0,0.0,0.0
4.634415,-17.66,0.0,50.44,0.0,0.0,0.0
4.745152,-16.84,0.0,44.15,0.0,0.0,0.0
4.837421,-15.4,0.0,42.09,0.0,0.0,0.0
4.937095,-13.51,0.0,38.49,0.0,0.0,0.0
5.054263,-11.46,0.0,33.76,0.0,0.0,0.0
5.188256,-8.37,0.0,28.64,0.0,0.0,0.0
5.253811,-6.61,0.0,20.91,0.0,0.0,0.0
5.371064,-4.56,0.0,16.51,0.0,0.0,0.0
6.299367,15.96,0.0,-35.29,0.0,0.0,0.0
6.36479,17.13,0.0,-39.92,0.0,0.0,0.0
6.420849,18.5,0.0,-42.85,0.0,0.0,0.0
6.481811,19.64,0.0,-46.27,0.0,0.0,0.0
6.539403,20.38,0.0,-49.12,0.0,0.0,0.0
6.631118,21.01,0.0,-50.96,0.0,0.0,0.0
6.737338,23.08,0.0,-52.53,0.0,0.0,0.0
6.853262,23.68,0.0,-57.72,0.0,0.0,0.0
6.931418,20.29,0.0,-59.22,0.0,0.0,0.0
7.030305,18.96,0.0,-50.74,0.0,0.0,0.0
7.131431,17.67,0.0,-47.4,0.0,0.0,0.0
7.234187,15.75,0.0,-44.18,0.0,0.0,0.0
7.331389,13.92,0.0,-39.4,0.0,0.0,0.0
7.439402,12.07,0.0,-34.81,0.0,0.0,0.0
7.533379,10.07,0.0,-30.19,0.0,0.0,0.0
7.630018,6.75,0.0,-25.18,0.0,0.0,0.0
7.737156,5.69,0.0,-16.89,0.0,0.0,0.0
7.837197,4.41,0.0,-14.23,0.0,0.0,0.0
7.933321,3.66,0.0,-11.05,0.0,0.0,0.0
