Time,Pitch,SetPitch,ControlSignal,P_Gain,I_Gain,D_Gain
0.486949,2.14,0.0,-4.8,0.0,0.0,0.0
0.544907,2.14,0.0,-4.89,0.0,0.0,0.0
0.571463,2.13,0.0,-4.9,0.0,0.0,0.0
0.720258,2.12,0.0,-4.81,0.0,0.0,0.0
0.775326,2.12,0.0,-4.69,0.0,0.0,0.0
0.829691,2.14,0.0,-4.66,0.0,0.0,0.0
0.883533,2.13,0.0,-4.89,0.0,0.0,0.0
0.945507,2.13,0.0,-4.78,0.0,0.0,0.0
1.011698,2.15,0.0,-4.8,0.0,0.0,0.0
1.076743,2.14,0.0,-4.95,0.0,0.0,0.0
1.131309,2.13,0.0,-4.91,0.0,0.0,0.0
1.196399,2.12,0.0,-4.79,0.0,0.0,0.0
1.250422,2.13,0.0,-4.68,0.0,0.0,0.0
1.310453,2.14,0.0,-4.76,0.0,0.0,0.0
1.411451,2.15,0.0,-4.85,0.0,0.0,0.0
1.512428,2.16,0.0,-4.94,0.0,0.0,0.0
1.610449,2.17,0.0,-5.06,0.0,0.0,0.0
1.71044,2.19,0.0,-5.17,0.0,0.0,0.0
1.81045,2.17,0.0,-5.34,0.0,0.0,0.0
1.910467,2.17,0.0,-5.13,0.0,0.0,0.0
2.01058,2.15,0.0,-5.13,0.0,0.0,0.0
2.110542,2.15,0.0,-4.97,0.0,0.0,0.0
2.210822,2.17,0.0,-4.99,0.0,0.0,0.0
2.310805,2.18,0.0,-5.13,0.0,0.0,0.0
2.410562,2.19,0.0,-5.31,0.0,0.0,0.0
2.510617,2.19,0.0,-5.39,0.0,0.0,0.0
2.610575,2.2,0.0,-5.4,0.0,0.0,0.0
2.710605,2.2,0.0,-5.48,0.0,0.0,0.0
2.810492,2.2,0.0,-5.51,0.0,0.0,0.0
2.916597,2.2,0.0,-5.44,0.0,0.0,0.0
3.010621,2.19,0.0,-5.45,0.0,0.0,0.0
3.110587,2.2,0.0,-5.39,0.0,0.0,0.0
3.21083,2.17,0.0,-5.43,0.0,0.0,0.0
3.311593,2.17,0.0,-5.19,0.0,0.0,0.0
3.410594,2.18,0.0,-5.17,0.0,0.0,0.0
3.510546,2.17,0.0,-5.27,0.0,0.0,0.0
3.610528,2.17,0.0,-5.22,0.0,0.0,0.0
3.713587,2.16,0.0,-5.19,0.0,0.0,0.0
3.810567,2.16,0.0,-5.07,0.0,0.0,0.0
3.910498,2.18,0.0,-5.11,0.0,0.0,0.0
4.010537,2.19,0.0,-5.25,0.0,0.0,0.0
4.110603,2.19,0.0,-5.4,0.0,0.0,0.0
4.211465,2.2,0.0,-5.42,0.0,0.0,0.0
4.311784,2.2,0.0,-5.5,40.0,0.0,0.0
4.411831,2.21,0.0,-5.41,40.0,0.0,0.0
4.510619,2.2,0.0,-5.94,40.0,0.0,0.0
4.61058,2.22,0.0,-5.39,40.0,0.0,0.0
