Time,Pitch,SetPitch,ControlSignal,P_Gain,I_Gain,D_Gain
15.508671,2.7,0.0,-6.89,0.0,0.0,0.0
15.60895,2.68,0.0,-6.76,0.0,0.0,0.0
15.708946,2.63,0.0,-6.7,0.0,0.0,0.0
15.810664,2.6,0.0,-6.58,0.0,0.0,0.0
15.90974,2.57,0.0,-6.52,0.0,0.0,0.0
16.009714,2.57,0.0,-6.44,0.0,0.0,0.0
16.108538,2.55,0.0,-6.44,0.0,0.0,0.0
16.208576,2.54,0.0,-6.39,0.0,0.0,0.0
16.308548,2.52,0.0,-6.36,0.0,0.0,0.0
16.408554,2.5,0.0,-6.32,0.0,0.0,0.0
16.509546,2.49,0.0,-6.26,0.0,0.0,0.0
16.608553,2.49,0.0,-6.25,0.0,0.0,0.0
16.711556,2.46,0.0,-6.23,0.0,0.0,0.0
16.809094,2.43,0.0,-6.17,0.0,0.0,0.0
16.908667,2.39,0.0,-6.09,0.0,0.0,0.0
17.008964,2.38,0.0,-6.0,0.0,0.0,0.0
17.108956,2.38,0.0,-5.96,0.0,0.0,0.0
17.209287,2.38,0.0,-5.97,0.0,0.0,0.0
17.308677,2.36,0.0,-5.95,0.0,0.0,0.0
17.410972,2.35,0.0,-5.9,0.0,0.0,0.0
17.510949,2.32,0.0,-5.87,0.0,0.0,0.0
17.608943,2.31,0.0,-5.82,0.0,0.0,0.0
