Time,Pitch,SetPitch,ControlSignal,P_Gain,I_Gain,D_Gain
0.484948,2.24,0.0,-5.57,0.0,0.0,0.0
0.541561,2.27,0.0,-5.6,0.0,0.0,0.0
0.566082,2.26,0.0,-5.68,0.0,0.0,0.0
0.71801,2.26,0.0,-5.65,0.0,0.0,0.0
0.773132,2.25,0.0,-5.65,0.0,0.0,0.0
0.827216,2.28,0.0,-5.65,0.0,0.0,0.0
0.882188,2.28,0.0,-5.71,0.0,0.0,0.0
0.941826,2.26,0.0,-5.7,0.0,0.0,0.0
1.007028,2.26,0.0,-5.67,0.0,0.0,0.0
1.072413,2.25,0.0,-5.67,0.0,0.0,0.0
1.1371,2.22,0.0,-5.64,0.0,0.0,0.0
1.193759,2.2,0.0,-5.56,0.0,0.0,0.0
1.252011,2.2,0.0,-5.51,0.0,0.0,0.0
1.354051,2.18,0.0,-5.52,0.0,0.0,0.0
1.454968,2.16,0.0,-5.47,0.0,0.0,0.0
1.555942,2.15,0.0,-5.42,0.0,0.0,0.0
1.651994,2.12,0.0,-5.39,0.0,0.0,0.0
1.754954,2.12,0.0,-5.31,0.0,0.0,0.0
1.853964,2.11,0.0,-5.32,0.0,0.0,0.0
1.951963,2.13,0.0,-5.3,0.0,0.0,0.0
2.051964,2.14,0.0,-5.35,0.0,0.0,0.0
2.167,2.14,0.0,-5.36,0.0,0.0,0.0
2.276336,2.14,0.0,-5.36,0.0,0.0,0.0
2.366058,2.15,0.0,-5.36,0.0,0.0,0.0
2.453364,2.14,0.0,-5.38,0.0,0.0,0.0
2.552147,2.16,0.0,-5.37,0.0,0.0,0.0
2.654426,2.13,0.0,-5.4,0.0,0.0,0.0
2.754085,2.27,0.0,-5.34,0.0,0.0,0.0
2.854076,2.76,0.0,-5.7,0.0,0.0,0.0
2.961324,2.56,0.0,-6.91,0.0,0.0,0.0
3.055314,2.37,0.0,-6.42,0.0,0.0,0.0
3.158429,2.44,0.0,-5.92,0.0,0.0,0.0
3.252114,2.52,0.0,-6.11,0.0,0.0,0.0
3.355367,2.61,0.0,-6.31,0.0,0.0,0.0
3.462269,2.67,0.0,-6.55,0.0,0.0,0.0
3.561061,2.83,0.0,-6.68,0.0,0.0,0.0
3.655076,3.26,0.0,-7.08,0.0,0.0,0.0
3.753354,3.93,0.0,-8.16,0.0,0.0,0.0
3.85322,4.93,0.0,-9.83,0.0,0.0,0.0
3.953457,6.38,0.0,-12.35,0.0,0.0,0.0
4.052199,8.18,0.0,-15.96,0.0,0.0,0.0
4.164372,10.74,0.0,-20.47,0.0,0.0,0.0
4.265325,12.63,0.0,-26.87,0.0,0.0,0.0
4.618425,16.54,0.0,-36.67,0.0,0.0,0.0
4.67691,19.25,0.0,-41.36,0.0,0.0,0.0
4.741791,20.38,0.0,-48.14,0.0,0.0,0.0
4.798799,22.3,0.0,-50.96,0.0,0.0,0.0
4.865221,24.27,0.0,-55.76,0.0,0.0,0.0
4.959333,25.71,0.0,-60.68,0.0,0.0,0.0
5.052045,27.05,0.0,-64.29,0.0,0.0,0.0
5.152085,27.02,0.0,-67.65,0.0,0.0,0.0
5.252203,27.06,0.0,-67.56,0.0,0.0,0.0
5.364372,27.45,0.0,-67.65,0.0,0.0,0.0
5.49907,24.91,0.0,-68.64,0.0,0.0,0.0
5.558703,22.24,0.0,-62.28,0.0,0.0,0.0
5.919396,14.84,0.0,-48.75,0.0,0.0,0.0
6.518209,2.83,0.0,-11.33,0.0,0.0,0.0
6.576755,1.43,0.0,-7.09,0.0,0.0,0.0
6.818492,-0.75,0.0,-0.78,0.0,0.0,0.0
6.885551,-0.83,0.0,1.87,0.0,0.0,0.0
6.951381,-0.16,0.0,2.07,0.0,0.0,0.0
7.017539,-2.55,0.0,0.39,0.0,0.0,0.0
7.110372,-4.15,0.0,6.37,0.0,0.0,0.0
7.176396,-2.72,0.0,10.38,0.0,0.0,0.0
7.265391,-1.66,0.0,6.79,0.0,0.0,0.0
7.918539,5.97,0.0,-11.21,0.0,0.0,0.0
7.984377,7.64,0.0,-14.93,0.0,0.0,0.0
8.042076,9.31,0.0,-19.12,0.0,0.0,0.0
8.098378,10.66,0.0,-23.3,0.0,0.0,0.0
8.154276,11.53,0.0,-26.66,0.0,0.0,0.0
8.209682,12.17,0.0,-28.84,0.0,0.0,0.0
8.297404,12.62,0.0,-30.45,0.0,0.0,0.0
8.364346,12.77,0.0,-31.57,0.0,0.0,0.0
8.465212,12.98,0.0,-31.95,0.0,0.0,0.0
8.565133,11.27,0.0,-32.46,0.0,0.0,0.0
8.704411,10.78,0.0,-28.2,0.0,0.0,0.0
8.786351,9.81,0.0,-26.97,0.0,0.0,0.0
8.855081,8.34,0.0,-24.54,0.0,0.0,0.0
9.218484,5.9,0.0,-17.62,0.0,0.0,0.0
9.285302,4.8,0.0,-14.75,0.0,0.0,0.0
9.351193,3.75,0.0,-12.02,0.0,0.0,0.0
9.410654,2.8,0.0,-9.38,0.0,0.0,0.0
9.4991,1.96,0.0,-7.0,0.0,0.0,0.0
9.819382,0.61,0.0,-2.99,0.0,0.0,0.0
10.118353,3.16,0.0,-2.91,0.0,0.0,0.0
10.184234,2.82,0.0,-7.92,0.0,0.0,0.0
10.243945,2.6,0.0,-7.06,0.0,0.0,0.0
10.310303,3.36,0.0,-6.5,0.0,0.0,0.0
10.518321,5.95,0.0,-10.93,0.0,0.0,0.0
10.584516,7.58,0.0,-14.88,0.0,0.0,0.0
10.650491,8.85,0.0,-18.96,0.0,0.0,0.0
10.716391,10.1,0.0,-22.15,0.0,0.0,0.0
10.782468,10.83,0.0,-25.26,0.0,0.0,0.0
10.85217,11.55,0.0,-27.09,0.0,0.0,0.0
11.518247,7.04,0.0,-20.14,0.0,0.0,0.0
11.576741,6.03,0.0,-17.62,0.0,0.0,0.0
11.818508,4.31,0.0,-12.9,0.0,0.0,0.0
11.88472,3.62,0.0,-10.79,0.0,0.0,0.0
11.950932,3.16,0.0,-9.06,0.0,0.0,0.0
12.218491,2.91,0.0,-7.19,0.0,0.0,0.0
12.284732,2.86,0.0,-7.28,0.0,0.0,0.0
12.342788,2.83,0.0,-7.16,0.0,0.0,0.0
12.405884,2.78,0.0,-7.08,0.0,0.0,0.0
12.47276,2.75,0.0,-6.97,0.0,0.0,0.0
12.554165,2.71,0.0,-6.88,0.0,0.0,0.0
12.652341,2.68,0.0,-6.79,0.0,0.0,0.0
12.752206,2.66,0.0,-6.72,0.0,0.0,0.0
12.925249,2.63,0.0,-6.67,0.0,0.0,0.0
12.993321,2.6,0.0,-6.58,0.0,0.0,0.0
13.060102,2.59,0.0,-6.52,0.0,0.0,0.0
13.158185,2.58,0.0,-6.48,0.0,0.0,0.0
13.264142,2.56,0.0,-6.45,0.0,0.0,0.0
13.36841,2.54,0.0,-6.4,0.0,0.0,0.0
13.455151,2.54,0.0,-6.35,0.0,0.0,0.0
13.55415,2.51,0.0,-6.36,0.0,0.0,0.0
13.659045,2.48,0.0,-6.28,0.0,0.0,0.0
