Time,Pitch,SetPitch,ControlSignal,Kp,1/Ti,Td,UPRIGHT
0.0,180.09,180.0,-3.8,12.0,3.0,0.04,180.0
0.0,179.74,180.0,6.68,12.0,3.0,0.04,180.0
0.0,180.25,180.0,-3.74,12.0,3.0,0.04,180.0
0.0,180.38,180.0,-5.3,12.0,3.0,0.04,180.0
0.0,179.48,180.0,11.29,12.0,3.0,0.04,180.0
0.0,180.33,180.0,-11.49,12.0,3.0,0.04,180.0
0.0,179.35,180.0,11.18,12.0,3.0,0.04,180.0
0.0,180.04,180.0,5.49,12.0,3.0,0.04,180.0
0.0,179.94,180.0,0.53,12.0,3.0,0.04,180.0
0.0,179.84,180.0,8.65,12.0,3.0,0.04,180.0
0.0,180.89,180.0,-16.31,12.0,3.0,0.04,180.0
0.0,179.54,180.0,9.51,12.0,3.0,0.04,180.0
0.0,178.57,180.0,27.73,12.0,3.0,0.04,180.0
0.0,179.37,180.0,22.5,12.0,3.0,0.04,180.0
0.0,181.08,180.0,-19.95,12.0,3.0,0.04,180.0
0.0,179.65,180.0,17.55,12.0,3.0,0.04,180.0
0.0,181.21,180.0,-15.62,12.0,3.0,0.04,180.0
0.0,178.75,180.0,22.12,12.0,3.0,0.04,180.0
0.0,180.32,180.0,-10.97,12.0,3.0,0.04,180.0
0.0,179.55,180.0,1.3,12.0,3.0,0.04,180.0
0.0,180.09,180.0,8.33,12.0,3.0,0.04,180.0
0.0,181.17,180.0,-21.06,12.0,3.0,0.04,180.0
0.0,179.59,180.0,16.46,12.0,3.0,0.04,180.0
0.0,181.3,180.0,-12.6,12.0,3.0,0.04,180.0
0.0,179.27,180.0,1.58,12.0,3.0,0.04,180.0
0.0,178.34,180.0,30.39,12.0,3.0,0.04,180.0
0.0,179.38,180.0,-1.08,12.0,3.0,0.04,180.0
0.0,179.7,180.0,19.53,12.0,3.0,0.04,180.0
0.0,180.86,180.0,-8.81,12.0,3.0,0.04,180.0
0.0,181.28,180.0,-4.13,12.0,3.0,0.04,180.0
0.0,180.04,180.0,-18.74,12.0,3.0,0.04,180.0
