Time,Pitch,SetPitch,ControlSignal,Kp,1/Ti,Td,UPRIGHT
0.0,178.28,180.0,14.94,9.0,0.0,0.0,180.0
0.0,177.52,180.0,21.8,9.0,0.0,0.0,180.0
0.0,177.25,180.0,24.75,9.0,0.0,0.0,180.0
0.0,177.15,180.0,25.57,9.0,0.0,0.0,180.0
0.0,177.22,180.0,25.07,9.0,0.0,0.0,180.0
0.0,177.25,180.0,24.69,9.0,0.0,0.0,180.0
0.0,177.09,180.0,26.01,9.0,0.0,0.0,180.0
0.0,177.04,180.0,26.58,9.0,0.0,0.0,180.0
0.0,177.08,180.0,26.27,9.0,0.0,0.0,180.0
0.0,177.1,180.0,26.14,9.0,0.0,0.0,180.0
0.0,177.08,180.0,26.2,9.0,0.0,0.0,180.0
0.0,176.99,180.0,26.96,9.0,0.0,0.0,180.0
0.0,176.68,180.0,29.48,9.0,0.0,0.0,180.0
0.0,177.0,180.0,27.84,9.0,0.0,0.0,180.0
0.0,177.4,180.0,23.31,9.0,0.0,0.0,180.0
0.0,177.01,180.0,26.58,9.0,0.0,0.0,180.0
0.0,177.1,180.0,26.46,9.0,0.0,0.0,180.0
0.0,177.67,180.0,21.42,9.0,0.0,0.0,180.0
0.0,177.96,180.0,18.34,9.0,0.0,0.0,180.0
0.0,177.74,180.0,20.1,9.0,0.0,0.0,180.0
0.0,177.71,180.0,20.6,9.0,0.0,0.0,180.0
0.0,177.9,180.0,18.9,9.0,0.0,0.0,180.0
0.0,177.9,180.0,18.9,9.0,0.0,0.0,180.0
0.0,177.96,180.0,18.4,9.0,0.0,0.0,180.0
0.0,178.13,180.0,16.83,9.0,0.0,0.0,180.0
0.0,178.1,180.0,17.08,9.0,0.0,0.0,180.0
0.0,177.98,180.0,18.02,9.0,0.0,0.0,180.0
0.0,177.91,180.0,18.78,9.0,0.0,0.0,180.0
0.0,178.01,180.0,18.08,9.0,0.0,0.0,180.0
0.0,178.01,180.0,17.83,9.0,0.0,0.0,180.0
0.0,177.74,180.0,19.97,9.0,0.0,0.0,180.0
0.0,177.64,180.0,21.42,9.0,0.0,0.0,180.0
0.0,177.67,180.0,20.79,9.0,0.0,0.0,180.0
0.0,177.22,180.0,24.62,9.0,0.0,0.0,180.0
0.0,176.94,180.0,27.39,9.0,0.0,0.0,180.0
0.0,177.08,180.0,26.51,9.0,0.0,0.0,180.0
0.0,177.52,180.0,22.85,9.0,0.0,0.0,180.0
0.0,177.84,180.0,19.89,9.0,0.0,0.0,180.0
0.0,178.15,180.0,17.11,9.0,0.0,0.0,180.0
0.0,178.37,180.0,14.4,9.0,0.0,0.0,180.0
0.0,177.98,180.0,17.54,9.0,0.0,0.0,180.0
0.0,177.9,180.0,18.86,9.0,0.0,0.0,180.0
0.0,178.25,180.0,16.4,9.0,0.0,0.0,180.0
0.0,178.97,180.0,9.86,9.0,0.0,0.0,180.0
0.0,179.57,180.0,4.13,9.0,0.0,0.0,180.0
0.0,178.63,180.0,11.3,9.0,0.0,0.0,180.0
0.0,177.91,180.0,17.97,9.0,0.0,0.0,180.0
0.0,177.63,180.0,21.37,9.0,0.0,0.0,180.0
0.0,177.07,180.0,26.08,9.0,0.0,0.0,180.0
0.0,176.85,180.0,28.54,9.0,0.0,0.0,180.0
0.0,177.67,180.0,21.3,9.0,0.0,0.0,180.0
0.0,177.88,180.0,18.97,9.0,0.0,0.0,180.0
0.0,178.1,180.0,17.58,9.0,0.0,0.0,180.0
0.0,178.25,180.0,15.44,9.0,0.0,0.0,180.0
0.0,178.13,180.0,16.95,9.0,0.0,0.0,180.0
0.0,178.02,180.0,17.08,9.0,0.0,0.0,180.0
0.0,176.95,180.0,25.96,9.0,0.0,0.0,180.0
0.0,173.99,180.0,52.01,9.0,0.0,0.0,180.0
0.0,173.3,180.0,60.84,9.0,0.0,0.0,180.0
0.0,174.21,180.0,52.89,9.0,0.0,0.0,180.0
0.0,174.74,180.0,47.28,9.0,0.0,0.0,180.0
0.0,175.55,180.0,41.3,9.0,0.0,0.0,180.0
0.0,176.9,180.0,28.39,9.0,0.0,0.0,180.0
0.0,177.28,180.0,24.67,9.0,0.0,0.0,180.0
0.0,176.84,180.0,27.82,9.0,0.0,0.0,180.0
0.0,176.5,180.0,31.54,9.0,0.0,0.0,180.0
0.0,176.63,180.0,30.59,9.0,0.0,0.0,180.0
0.0,176.59,180.0,30.46,9.0,0.0,0.0,180.0
0.0,176.31,180.0,32.79,9.0,0.0,0.0,180.0
0.0,175.5,180.0,39.59,9.0,0.0,0.0,180.0
0.0,174.2,180.0,51.06,9.0,0.0,0.0,180.0
0.0,173.58,180.0,57.74,9.0,0.0,0.0,180.0
0.0,173.8,180.0,55.98,9.0,0.0,0.0,180.0
0.0,173.95,180.0,54.53,9.0,0.0,0.0,180.0
0.0,174.1,180.0,53.2,9.0,0.0,0.0,180.0
0.0,174.05,180.0,53.58,9.0,0.0,0.0,180.0
0.0,173.97,180.0,54.15,9.0,0.0,0.0,180.0
0.0,173.7,180.0,56.42,9.0,0.0,0.0,180.0
0.0,173.38,180.0,59.38,9.0,0.0,0.0,180.0
0.0,173.26,180.0,60.51,9.0,0.0,0.0,180.0
0.0,173.44,180.0,59.31,9.0,0.0,0.0,180.0
0.0,173.75,180.0,56.6,9.0,0.0,0.0,180.0
0.0,174.27,180.0,52.13,9.0,0.0,0.0,180.0
0.0,174.64,180.0,48.35,9.0,0.0,0.0,180.0
0.0,174.78,180.0,46.71,9.0,0.0,0.0,180.0
0.0,174.58,180.0,48.72,9.0,0.0,0.0,180.0
0.0,174.26,180.0,51.24,9.0,0.0,0.0,180.0
0.0,173.71,180.0,56.22,9.0,0.0,0.0,180.0
0.0,173.38,180.0,59.18,9.0,0.0,0.0,180.0
0.0,172.8,180.0,64.1,9.0,0.0,0.0,180.0
0.0,172.24,180.0,69.4,9.0,0.0,0.0,180.0
0.0,171.77,180.0,73.69,9.0,0.0,0.0,180.0
0.0,171.43,180.0,76.91,9.0,0.0,0.0,180.0
0.0,171.11,180.0,79.74,9.0,0.0,0.0,180.0
0.0,171.01,180.0,80.76,9.0,0.0,0.0,180.0
0.0,170.74,180.0,83.22,9.0,0.0,0.0,180.0
0.0,170.66,180.0,84.1,9.0,0.0,0.0,180.0
0.0,170.73,180.0,83.4,9.0,0.0,0.0,180.0
0.0,170.6,180.0,84.47,9.0,0.0,0.0,180.0
0.0,170.37,180.0,86.37,9.0,0.0,0.0,180.0
0.0,170.18,180.0,88.33,9.0,0.0,0.0,180.0
0.0,170.16,180.0,88.52,9.0,0.0,0.0,180.0
0.0,170.4,180.0,87.19,9.0,0.0,0.0,180.0
0.0,173.12,180.0,64.9,9.0,0.0,0.0,180.0
0.0,176.95,180.0,31.64,9.0,0.0,0.0,180.0
0.0,181.48,180.0,-9.83,9.0,0.0,0.0,180.0
0.0,183.21,180.0,-28.64,9.0,0.0,0.0,180.0
0.0,182.86,180.0,-26.31,9.0,0.0,0.0,180.0
0.0,182.68,180.0,-24.17,9.0,0.0,0.0,180.0
0.0,182.48,180.0,-22.6,9.0,0.0,0.0,180.0
0.0,181.94,180.0,-18.19,9.0,0.0,0.0,180.0
